open,high,low,close,volume,trades
1.25984,1.26556,1.25224,1.26059,258532.8765092799,267
1.26088,1.26161,1.24856,1.25374,194662.3314120098,396
1.25482,1.25482,1.23732,1.23791,67174.56339867,322
1.23846,1.24267,1.23132,1.23233,55223.55884561,258
1.23332,1.23371,1.22955,1.23269,44382.27282387,180
1.23326,1.23362,1.23,1.23042,17982.30993044,122
1.23099,1.24714,1.20947,1.24681,123866.75756226,343
1.24714,1.24976,1.23962,1.24815,22285.27961816,140
1.2493,1.25002,1.2377,1.23916,142684.3155251801,699
1.23852,1.24176,1.23568,1.23887,65991.83828354,277
1.23787,1.23892,1.22809,1.23034,82338.5966048399,284
1.23098,1.2319,1.22181,1.22961,143979.1466875201,642
1.23048,1.23131,1.22795,1.23017,55083.98524059,346
1.23014,1.23494,1.21985,1.22845,106611.5801203201,562
1.22707,1.23687,1.22094,1.23558,74327.06041936,357
1.23513,1.2455,1.23163,1.24347,88914.4039457,585
1.24326,1.249,1.23902,1.24332,136048.99352828,676
1.24301,1.24468,1.24015,1.24463,60811.71233869,415
1.2439,1.24604,1.2426,1.24399,39354.42011302,296
1.24468,1.24505,1.2417,1.24318,60945.19333856,276
1.2452,1.24904,1.24406,1.2471,155983.5134227901,669
1.24743,1.25533,1.24267,1.25178,169365.0171385901,599
1.25148,1.25939,1.24726,1.25801,273882.5464241601,739
1.25874,1.26279,1.25497,1.2565,126094.5356755199,835
1.25697,1.26192,1.22842,1.25682,105764.64666838,470
1.25943,1.26,1.25537,1.25826,89703.98385558,285
1.25795,1.26038,1.25642,1.25967,54911.9380226501,274
1.2594,1.26323,1.2515,1.25226,63589.46208848,422
1.25198,1.2544,1.24498,1.25254,111418.9856718001,405
1.25316,1.26,1.25269,1.25462,133498.6646551999,476
1.25535,1.25707,1.24682,1.25365,106394.7614961002,411
1.25322,1.25456,1.24466,1.25435,93206.50503361,250
1.25457,1.25536,1.24504,1.25303,59769.21049846,160
1.25406,1.25606,1.24739,1.2556,65366.72818787,151
1.25442,1.26438,1.2515,1.26294,117984.1119460001,477
1.26294,1.27364,1.26257,1.26873,76764.27140203,258
1.27037,1.27294,1.25974,1.27078,182408.7290681599,496
1.2726,1.27334,1.26099,1.26892,167722.34755998,397
1.2692,1.27625,1.26485,1.27408,74584.79837557,343
1.2751,1.27792,1.27177,1.27448,134246.76064735,307
1.27482,1.27921,1.27193,1.27696,149756.6479254999,546
1.27726,1.2884,1.2772,1.28623,308504.66864854,924
1.28702,1.29321,1.28143,1.29095,236189.3359516701,652
1.29068,1.29785,1.28948,1.29725,176932.0892368398,498
1.29574,1.30839,1.29027,1.30839,189324.0851799801,481
1.3081,1.31271,1.30446,1.30527,115267.65207591,309
1.30477,1.31,1.3,1.3065,202843.8550785206,1001
1.30635,1.31258,1.29238,1.31,412608.6596590814,1195
1.30986,1.30986,1.2987,1.30509,267189.7595427001,660
1.30482,1.3062,1.29557,1.306,131029.79957369,385
1.30535,1.3128,1.3039,1.30995,408927.9853275998,661
1.31005,1.315,1.30804,1.31047,235909.1273336297,484
1.31063,1.31112,1.29596,1.30253,213283.3863176705,667
1.30144,1.30482,1.30051,1.30419,58560.66718717,287
1.30487,1.30629,1.30009,1.30576,209003.3247783998,525
1.3062,1.31391,1.30001,1.30319,222095.28061288,725
1.30353,1.30849,1.30102,1.3027,182599.5393612801,645
1.30287,1.30865,1.28522,1.30865,469685.7275124994,1529
1.30597,1.31239,1.29668,1.31036,348814.0423950302,917
1.30745,1.31118,1.29932,1.30552,164475.5944491202,516
1.30485,1.30802,1.29411,1.3056,131970.6850178897,542
1.30529,1.30737,1.28759,1.30692,141770.17632598,653
1.30662,1.3089,1.30141,1.30646,252740.7283608399,947
1.30678,1.32368,1.29703,1.32326,538543.9928792097,1447
1.32367,1.32774,1.29997,1.30666,294036.0404984803,793
1.30751,1.32119,1.28872,1.31873,275979.2360223704,884
1.31896,1.32348,1.29163,1.30418,255952.6731658403,1089
1.30402,1.30759,1.28123,1.30526,192660.2035328701,930
1.30579,1.30799,1.29921,1.30669,73338.7715469799,395
1.30607,1.31203,1.30174,1.30459,59152.21485112,415
1.30485,1.3129,1.30444,1.31065,117213.5692481399,711
1.31313,1.31942,1.30799,1.31809,106436.8915169698,596
1.31897,1.32257,1.31357,1.31767,157093.8635267903,669
1.31748,1.33273,1.31748,1.33076,114677.97451642,569
1.33076,1.33282,1.32714,1.33067,81214.8791207599,418
1.33046,1.33807,1.32836,1.33241,74948.40206296,359
1.33201,1.33658,1.32688,1.33404,88131.31647317,400
1.33465,1.34493,1.33,1.33702,167028.6142617,625
1.33701,1.33785,1.31571,1.33187,303803.2041222099,997
1.3298,1.3327,1.31552,1.32291,363665.8476527504,1376
1.32367,1.32674,1.31276,1.32339,203244.7376817001,1133
1.32434,1.32535,1.30918,1.32402,278363.7706432495,1255
1.32449,1.325,1.31908,1.32151,117919.89539818,629
1.32307,1.32333,1.272,1.31321,210929.5970977503,672
1.3112,1.31207,1.29052,1.29174,252138.60439064,609
1.2922,1.29889,1.28505,1.29594,153002.7466098701,448
1.29587,1.29977,1.275,1.27885,176879.9478499197,437
1.279,1.28342,1.27306,1.27739,141512.76041907,315
1.27551,1.27886,1.27256,1.2768,119119.2797176398,339
1.27766,1.27827,1.27294,1.27755,68874.09161318,357
1.27765,1.28726,1.27579,1.28147,114621.3452725199,452
1.28147,1.29239,1.27866,1.28789,164970.42467837,581
1.28594,1.29845,1.28539,1.29297,194203.1098680198,590
1.29145,1.29607,1.28319,1.29464,276813.9829486501,708
1.29393,1.29593,1.2884,1.28996,180504.21168074,473
1.28986,1.29027,1.28732,1.28784,104195.9182606501,289
1.28753,1.29158,1.28715,1.29091,79967.41589178,367
1.29111,1.29281,1.27407,1.2789,161562.5313097399,570
1.27813,1.28326,1.19,1.26923,123094.3885467301,325
1.2701,1.2763,1.26639,1.2694,244350.04830397,539
1.2697,1.27481,1.26342,1.27313,370847.3090092803,635
1.27296,1.27551,1.26643,1.27198,255987.6319094199,418
1.2738,1.27459,1.27078,1.27323,31268.47128713,203
1.27323,1.27592,1.27018,1.27376,57637.5533933401,243
1.27623,1.29046,1.27531,1.2862,282621.18859821,694
1.28545,1.28813,1.28147,1.2854,312944.7969678201,724
1.28322,1.29999,1.27971,1.29013,197664.5095349501,423
1.29018,1.296,1.28146,1.28553,296535.5725086007,647
1.28543,1.29405,1.28188,1.29237,174402.83349534,571
1.29237,1.29299,1.28901,1.29004,68479.59892509,209
1.29055,1.29213,1.28951,1.2901,14797.6996307,109
1.29182,1.29745,1.2885,1.29708,200865.4490644001,279
1.29833,1.29902,1.28635,1.2879,823313.2793310208,509
1.28784,1.29191,1.28393,1.29066,116717.8288756299,306
1.28992,1.29469,1.28729,1.292,185782.8172906098,431
1.29244,1.30413,1.29016,1.30305,167469.46302463,376
1.30304,1.3125,1.3003,1.30331,74216.71279779,317
1.30309,1.30413,1.30002,1.30186,110012.83730804,198
1.30164,1.30655,1.29739,1.30462,288425.4919395503,516
1.30287,1.30377,1.2899,1.29088,33586.39251845,245
